result_type,model,surface,benchmark_or_pack,domain_or_task,runs,passed,pass_rate,available,wall_duration_ms,failure_class_or_modes,source_file,notes
local_smoke_20s_cold_probe,qwen3.5:9b,ollama_http,BENCH-LOCAL-001,local_runtime_adapter,1,0,0.0,0,,request_watchdog_timeout,benchmark_results\local_ollama_benchmark_20260607_163127.jsonl,20-second cold responsiveness probe; failure is not a final quality score.
local_smoke_20s_cold_probe,qwen3:4b,ollama_http,BENCH-LOCAL-001,local_runtime_adapter,1,0,0.0,0,,request_watchdog_timeout,benchmark_results\local_ollama_benchmark_20260607_163127.jsonl,20-second cold responsiveness probe; failure is not a final quality score.
local_smoke_20s_cold_probe,qwen3:8b,ollama_http,BENCH-LOCAL-001,local_runtime_adapter,1,0,0.0,0,,request_watchdog_timeout,benchmark_results\local_ollama_benchmark_20260607_163127.jsonl,20-second cold responsiveness probe; failure is not a final quality score.
operation_overall,deepseek-coder-v2:latest,ollama_http,operations_first_pack_2026-06-07,all_operation_domains,13,0,0.0,,,"{""unavailable_or_timeout"": 13}",C:\Users\Couch\Documents\Claude\Projects\Home of Claude - MSI Auto Project\orchestrator_contracts\local_model_operation_scores_2026-06-07.json,Strict one-trial operation fixture matrix; route only where validators pass.
operation_domain,deepseek-coder-v2:latest,ollama_http,operations_first_pack_2026-06-07,compliance_policy,1,0,0.0,,,"{""unavailable_or_timeout"": 1}",C:\Users\Couch\Documents\Claude\Projects\Home of Claude - MSI Auto Project\orchestrator_contracts\local_model_operation_scores_2026-06-07.json,Domain score from deterministic fixture validator.
operation_domain,deepseek-coder-v2:latest,ollama_http,operations_first_pack_2026-06-07,computer_control_app_use,1,0,0.0,,,"{""unavailable_or_timeout"": 1}",C:\Users\Couch\Documents\Claude\Projects\Home of Claude - MSI Auto Project\orchestrator_contracts\local_model_operation_scores_2026-06-07.json,Domain score from deterministic fixture validator.
operation_domain,deepseek-coder-v2:latest,ollama_http,operations_first_pack_2026-06-07,conceptualization_strategy,1,0,0.0,,,"{""unavailable_or_timeout"": 1}",C:\Users\Couch\Documents\Claude\Projects\Home of Claude - MSI Auto Project\orchestrator_contracts\local_model_operation_scores_2026-06-07.json,Domain score from deterministic fixture validator.
operation_domain,deepseek-coder-v2:latest,ollama_http,operations_first_pack_2026-06-07,data_analytics_kpi_diagnostics,1,0,0.0,,,"{""unavailable_or_timeout"": 1}",C:\Users\Couch\Documents\Claude\Projects\Home of Claude - MSI Auto Project\orchestrator_contracts\local_model_operation_scores_2026-06-07.json,Domain score from deterministic fixture validator.
operation_domain,deepseek-coder-v2:latest,ollama_http,operations_first_pack_2026-06-07,financial_operations,1,0,0.0,,,"{""unavailable_or_timeout"": 1}",C:\Users\Couch\Documents\Claude\Projects\Home of Claude - MSI Auto Project\orchestrator_contracts\local_model_operation_scores_2026-06-07.json,Domain score from deterministic fixture validator.
operation_domain,deepseek-coder-v2:latest,ollama_http,operations_first_pack_2026-06-07,full_business_operations,1,0,0.0,,,"{""unavailable_or_timeout"": 1}",C:\Users\Couch\Documents\Claude\Projects\Home of Claude - MSI Auto Project\orchestrator_contracts\local_model_operation_scores_2026-06-07.json,Domain score from deterministic fixture validator.
